日期,城市,订单呼叫次数,订单应答数,完成订单数,订单应答率,订单成交率,新增呼叫乘客数,新增呼叫乘客数,新增激活司机数,司机每日补贴,乘客每日补贴
2020-03-23,DY市,40234,39710,37552,0.986976189292638,0.933339961226823,754,754,59,31.78,7985.4
2020-03-26,NC市,58290,56842,51442,0.97515868931206,0.882518442271402,1002,1002,52,41669.3,13915.6
2020-03-26,MY市,59947,56174,50017,0.937061070612374,0.83435367908319,1168,1168,66,53336.1,11259.1
2020-03-26,AB市,123,44,41,0.357723577235772,0.333333333333333,7,7,4,-5.0,16.8
2020-03-26,BZ市,3153,2704,2141,0.857595940374247,0.679035838883603,131,131,16,2816.03,125.4
2020-03-26,DZ市,21048,18630,14309,0.885119726339795,0.67982706195363,385,385,15,20251.67,943.9
2020-03-26,GA市,11771,11047,9214,0.938492906295132,0.782771217398692,275,275,24,13513.98,454.2
2020-03-26,SN市,19005,18190,16451,0.957116548276769,0.865614312023152,334,334,27,20821.67,738.1
2020-03-26,GY市,14394,13152,11048,0.9137140475198,0.767542031401973,215,215,16,11450.49,663.4
2020-03-26,DY市,46044,44887,42190,0.974871861697507,0.916297454608635,958,958,58,-79.15,2087.0
2020-03-25,NC市,60831,59318,53135,0.975127813121599,0.873485558350183,1057,1057,59,42020.18,19590.2
2020-03-25,MY市,65669,60415,53224,0.919992690615054,0.810488967397098,1448,1448,49,41156.35,16779.1
2020-03-25,AB市,158,47,34,0.29746835443038,0.215189873417722,1,1,0,-56.0,1.3
2020-03-25,BZ市,3120,2725,2163,0.873397435897436,0.693269230769231,134,134,20,3256.16,125.5
2020-03-25,DZ市,22634,18698,14660,0.826102323937439,0.647698153220818,505,505,13,17135.81,1392.6
2020-03-25,GA市,13471,11720,9849,0.870017073713904,0.731126122782273,339,339,19,15267.71,600.1
2020-03-25,SN市,19744,18542,16778,0.93912074554295,0.849777147487844,369,369,21,21280.07,1021.7
2020-03-25,GY市,15508,13729,11458,0.885285014186227,0.738844467371679,251,251,15,11870.17,925.4
2020-03-25,DY市,53343,51248,47876,0.960725868436346,0.897512325890932,1221,1221,44,-166.74,3560.2
2020-03-24,NC市,60077,58075,52497,0.966676099006275,0.873828586647136,772,772,75,38567.63,23317.3
2020-03-24,MY市,59708,57474,51553,0.962584578280967,0.863418637368527,1272,1272,56,35409.41,22460.0
2020-03-24,AB市,178,51,48,0.286516853932584,0.269662921348315,7,7,3,0.0,1.8
2020-03-24,BZ市,3146,2815,2342,0.894787031150667,0.744437380801017,81,81,22,2822.94,125.0
2020-03-24,DZ市,22504,20273,16715,0.900862068965517,0.742756843227871,336,336,18,15198.66,4548.7
2020-03-24,GA市,15422,13827,11822,0.896576319543509,0.766567241602905,382,382,24,11148.37,2602.4
2020-03-24,SN市,20753,19245,17467,0.927335806871296,0.84166144653785,376,376,33,18569.73,3791.0
2020-03-24,GY市,15769,13790,11541,0.874500602447841,0.731879003107363,225,225,20,15257.46,2761.7
2020-03-24,DY市,51083,50261,47109,0.983908541001899,0.922205038858329,1055,1055,53,-55.27,10221.7
2020-03-27,NC市,51797,50791,46376,0.9805780257543874,0.8953414290402919,565,565,199,39702.08,24944.6
2020-03-27,MY市,46694,45451,41727,0.9733798775003213,0.8936265901400609,732,732,224,49773.04,8474.8
2020-03-27,AB市,104,54,43,0.5192307692307693,0.41346153846153844,6,6,16,-108.8,15.6
2020-03-27,BZ市,2774,2464,2042,0.8882480173035328,0.7361211247296323,86,86,71,2890.58,54.2
2020-03-27,DZ市,17948,16819,14071,0.9370960552707822,0.783987073768665,205,205,89,19485.8,726.9
2020-03-27,GA市,10649,10044,8617,0.9431871537233543,0.8091839609352991,166,166,79,13593.3,438.8
2020-03-27,SN市,16551,15894,14449,0.9603045133224578,0.8729986103558698,198,198,94,20582.31,678.4
2020-03-27,GY市,12772,11171,9683,0.8746476667710616,0.7581428124021297,165,165,69,9801.32,617.5
2020-03-27,DY市,38291,37709,35628,0.9848006058865008,0.9304536314016348,595,595,237,-134.48,1527.4
2020-03-28,NC市,51976,51267,47033,0.98635908881022,0.9048984146529168,587,587,64,40629.31,32764.6
2020-03-28,MY市,46720,45785,42494,0.9799871575342466,0.9095462328767123,674,674,76,36666.53,8940.8
2020-03-28,AB市,114,71,60,0.6228070175438597,0.5263157894736842,2,2,13,-100.0,6.9
2020-03-28,BZ市,2882,2454,1999,0.8514920194309508,0.693615544760583,85,85,17,2732.96,192.6
2020-03-28,DZ市,18872,17646,14497,0.9350360322170411,0.7681750741839762,228,228,25,15445.91,1847.7
2020-03-28,GA市,11192,10620,9124,0.9488920657612581,0.8152251608291637,146,146,30,10006.27,1104.9
2020-03-28,SN市,16631,16158,14805,0.9715591365522217,0.8902050387829956,236,236,35,16758.83,1797.1
2020-03-28,GY市,12698,12110,10713,0.9536934950385888,0.8436761694755079,149,149,22,9950.87,1368.7
2020-03-28,DY市,37731,37275,35320,0.9879144470064404,0.936100288887122,575,575,76,-148.9,3361.1
2020-03-29,NC市,57087,56058,51273,0.9819748804456356,0.898155446949393,633,633,63,39471.12,30475.5
2020-03-29,MY市,46744,45829,42418,0.9804252952250556,0.9074533629984597,712,712,76,35086.46,20332.5
2020-03-29,AB市,132,71,60,0.5378787878787878,0.45454545454545453,3,3,5,-46.0,2.4
