date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-01-09,sh.601390,5.9400,5.9700,5.9200,5.9400,5.9100,32204410,191333430.0000,3,0.172800,1,0.507600,0
2020-01-10,sh.601390,5.9500,5.9700,5.9100,5.9300,5.9400,26621520,158042452.0000,3,0.142800,1,-0.168400,0
2020-01-13,sh.601390,5.9300,5.9300,5.8500,5.9200,5.9300,33628424,198167269.0000,3,0.180400,1,-0.168600,0
2020-01-14,sh.601390,5.9300,5.9900,5.9200,5.9600,5.9200,41972439,250127707.0000,3,0.225200,1,0.675700,0
2020-01-15,sh.601390,5.9400,5.9500,5.8400,5.8400,5.9600,48041584,281943623.0000,3,0.257800,1,-2.013400,0
2020-01-16,sh.601390,5.8500,5.8600,5.7900,5.8000,5.8400,37320606,216900508.0000,3,0.200300,1,-0.684900,0
2020-01-17,sh.601390,5.8000,5.8200,5.7700,5.7800,5.8000,28166125,163244166.0000,3,0.151100,1,-0.344800,0
2020-01-20,sh.601390,5.7800,5.8400,5.7500,5.8300,5.7800,28248179,163575192.0000,3,0.151600,1,0.865000,0
2020-01-21,sh.601390,5.8000,5.8100,5.7000,5.7100,5.8300,38489526,221108933.0000,3,0.206500,1,-2.058300,0
2020-01-22,sh.601390,5.7000,5.7300,5.6500,5.7000,5.7100,28621163,162783499.0000,3,0.153600,1,-0.175100,0
2020-01-23,sh.601390,5.6800,5.6900,5.5200,5.5600,5.7000,50555718,283287740.0000,3,0.271300,1,-2.456100,0
2020-02-03,sh.601390,5.0000,5.0500,5.0000,5.0000,5.5600,77966374,390103978.0000,3,0.418300,1,-10.071900,0
2020-02-04,sh.601390,4.9000,5.0600,4.9000,5.0000,5.0000,76948822,384227203.0000,3,0.412900,1,0.000000,0
2020-02-05,sh.601390,4.9800,5.1300,4.9800,5.0600,5.0000,62380234,315770526.0000,3,0.334700,1,1.200000,0
2020-02-06,sh.601390,5.1000,5.1700,5.0500,5.1400,5.0600,55284027,282230698.0000,3,0.296600,1,1.581000,0
2020-02-07,sh.601390,5.1200,5.2200,5.0600,5.1800,5.1400,46113006,235680641.0000,3,0.247400,1,0.778200,0
2020-02-10,sh.601390,5.1300,5.2600,5.1100,5.2200,5.1800,43304654,225250960.0000,3,0.232400,1,0.772200,0
2020-02-11,sh.601390,5.2500,5.3100,5.2100,5.2300,5.2200,49629111,261202438.0000,3,0.266300,1,0.191600,0
2020-02-12,sh.601390,5.2300,5.2700,5.2000,5.2600,5.2300,32740259,171666769.0000,3,0.175700,1,0.573600,0
2020-02-13,sh.601390,5.2800,5.3900,5.2700,5.2800,5.2600,56851232,302686580.0000,3,0.305000,1,0.380200,0
2020-02-14,sh.601390,5.2600,5.3200,5.2500,5.3000,5.2800,32185657,170139811.0000,3,0.172700,1,0.378800,0
2020-02-17,sh.601390,5.3000,5.4000,5.2900,5.3900,5.3000,49028756,262458511.0000,3,0.263100,1,1.698100,0
2020-02-18,sh.601390,5.4000,5.4300,5.3400,5.3500,5.3900,52916573,283802468.0000,3,0.283900,1,-0.742100,0
2020-02-19,sh.601390,5.3400,5.3900,5.3100,5.3400,5.3500,54109417,289418443.0000,3,0.290300,1,-0.186900,0
2020-02-20,sh.601390,5.3400,5.3900,5.3100,5.3800,5.3400,63643573,340285952.0000,3,0.341500,1,0.749100,0
2020-02-21,sh.601390,5.3700,5.4100,5.3500,5.3600,5.3800,61521921,330448720.0000,3,0.330100,1,-0.371700,0
2020-02-24,sh.601390,5.3400,5.3500,5.2700,5.2800,5.3600,61590975,326323910.0000,3,0.330500,1,-1.492500,0
2020-02-25,sh.601390,5.2100,5.2400,5.1100,5.1600,5.2800,88814155,458827293.0000,3,0.476500,1,-2.272700,0
