date,sales,ads_fee,,
2020/5/11,176,18.22 ,,
2020/5/12,156,29.33 ,,
2020/5/13,156,16.05 ,,
2020/5/14,157,33.61 ,,
2020/5/15,156,13.42 ,,
2020/5/16,138,10.21 ,,
2020/5/17,168,14.14 ,,
2020/5/18,161,14.51 ,,
2020/5/19,149,11.34 ,,
2020/5/20,137,12.02 ,,
2020/5/21,162,12.08 ,,
2020/5/22,119,13.19 ,,
2020/5/23,149,28.57 ,,
2020/5/24,151,16.19 ,,
2020/5/25,148,37.36 ,,
2020/5/26,150,16.96 ,,
2020/5/27,174,18.21 ,,
2020/5/28,166,27.28 ,,
2020/5/29,127,15.20 ,,
2020/5/30,133,37.88 ,,
2020/5/31,135,13.46 ,,
2020/6/1,171,10.22 ,,
2020/6/2,149,14.11 ,,
2020/6/3,155,14.47 ,,
2020/6/4,139,11.34 ,,
2020/6/5,137,12.06 ,,
2020/6/6,131,12.12 ,,
2020/6/7,171,13.21 ,,
2020/6/8,165,28.60 ,,
2020/6/9,163,16.41 ,,
2020/6/10,149,37.43 ,,
2020/6/11,144,17.26 ,,
2020/6/12,120,18.39 ,,
2020/6/13,119,27.28 ,,
2020/6/14,159,15.38 ,,
2020/6/15,134,36.56 ,,
2020/6/16,152,40.24 ,,
2020/6/17,124,43.89 ,,
2020/6/18,146,44.72 ,,
2020/6/19,139,45.17 ,,
2020/6/20,124,41.62 ,,
2020/6/21,157,42.44 ,,
2020/6/22,138,42.62 ,,
2020/6/23,128,13.89 ,,
2020/6/24,113,31.70 ,,
2020/6/25,112,17.03 ,,
2020/6/26,119,17.42 ,,
2020/6/27,143,42.27 ,,
2020/6/28,174,18.97 ,,
2020/6/29,153,30.54 ,,
2020/6/30,165,16.87 ,,
2020/7/1,155,29.30 ,,
2020/7/2,165,13.95 ,,
2020/7/3,166,43.25 ,,
2020/7/4,195,47.78 ,,
2020/7/5,166,48.22 ,,
2020/7/6,166,44.65 ,,
2020/7/7,173,45.45 ,,
2020/7/8,160,45.63 ,,
2020/7/9,180,46.92 ,,
2020/7/10,153,31.80 ,,
2020/7/11,183,17.10 ,,
2020/7/12,209,17.47 ,,
2020/7/13,203,42.55 ,,
2020/7/14,206,18.96 ,,
2020/7/15,196,30.76 ,,
2020/7/16,209,16.90 ,,
2020/7/17,157,29.21 ,,
2020/7/18,159,13.91 ,,
2020/7/19,183,10.25 ,,
2020/7/20,195,14.75 ,,
2020/7/21,190,15.15 ,,
2020/7/22,193,44.65 ,,
2020/7/23,168,45.44 ,,
2020/7/24,154,45.62 ,,
2020/7/25,160,46.92 ,,
2020/7/26,166,31.66 ,,
2020/7/27,191,17.01 ,,
2020/7/28,195,17.42 ,,
2020/7/29,171,42.43 ,,
2020/7/30,185,18.89 ,,
2020/7/31,152,30.66 ,,
